slug,url,name,category,category_slug,calories,protein_g,total_fat_g,total_carb_g,dietary_fiber_g,sugars_g,sodium_mg,cholesterol_mg,scraped_at
clif-energy-bar-peanut-toffee-buzz-peanut-toffee-buzz,https://caloriedata.org/calories-in/clif-energy-bar-peanut-toffee-buzz-peanut-toffee-buzz,"CLIF, ENERGY BAR, PEANUT TOFFEE BUZZ, PEANUT TOFFEE BUZZ",Snacks,snacks,368.0,14.7,8.82,61.8,7.4,30.9,279.0,0.0,2026-05-04T03:05:00Z
coca-cola,https://caloriedata.org/calories-in/coca-cola,Coca-Cola,Beverages,beverages,42.0,0.0,0.0,11.0,0.0,11.0,4.0,0.0,2026-05-04T03:05:00Z
coconut-milk,https://caloriedata.org/calories-in/coconut-milk,Coconut Milk,Beverages,beverages,230.0,2.0,24.0,2.3,2.3,0.0,100.0,0.0,2026-05-04T03:05:00Z
coconut-water,https://caloriedata.org/calories-in/coconut-water,Coconut Water,Beverages,beverages,19.0,0.7,0.2,3.7,1.1,2.6,105.0,0.0,2026-05-04T03:05:01Z
cod,https://caloriedata.org/calories-in/cod,Cod,Proteins & Meats,proteins,82.0,17.0,0.7,0.0,0.0,0.0,77.0,0.0,2026-05-04T03:05:01Z
coffee,https://caloriedata.org/calories-in/coffee,Coffee,Beverages,beverages,1.0,0.3,0.0,0.2,0.0,0.0,5.0,,2026-05-04T03:05:01Z
coffee-protein-beverage,https://caloriedata.org/calories-in/coffee-protein-beverage,COFFEE & PROTEIN BEVERAGE,Fast Food,fast-food,61.0,6.06,0.76,10.3,0.6,6.36,36.0,3.0,2026-05-04T03:05:01Z
cookie,https://caloriedata.org/calories-in/cookie,Cookie,Desserts,desserts,435.0,2.0,21.0,58.0,1.2,33.0,361.0,0.0,2026-05-04T03:05:01Z
cottage-cheese,https://caloriedata.org/calories-in/cottage-cheese,Cottage Cheese,Dairy,dairy,98.0,11.0,5.0,3.7,0.0,3.3,390.0,0.0,2026-05-04T03:05:01Z
couscous,https://caloriedata.org/calories-in/couscous,Couscous,Grains & Cereals,grains,112.0,3.8,0.2,23.0,1.4,0.1,5.0,0.0,2026-05-04T03:05:02Z
crab,https://caloriedata.org/calories-in/crab,Crab,Proteins & Meats,proteins,102.0,19.0,1.8,0.0,0.0,0.0,907.0,0.0,2026-05-04T03:05:02Z
crackers,https://caloriedata.org/calories-in/crackers,Crackers,Snacks,snacks,421.0,6.0,11.0,71.0,2.0,1.5,735.0,0.0,2026-05-04T03:05:02Z
cranberry-juice,https://caloriedata.org/calories-in/cranberry-juice,Cranberry Juice,Beverages,beverages,46.0,0.1,0.1,11.0,0.1,9.0,2.0,0.0,2026-05-04T03:05:02Z
cream,https://caloriedata.org/calories-in/cream,Cream,Dairy,dairy,340.0,1.9,35.0,4.1,0.0,4.1,33.0,0.0,2026-05-04T03:05:03Z
cream-cheese,https://caloriedata.org/calories-in/cream-cheese,Cream Cheese,Dairy,dairy,342.0,5.9,34.0,4.1,0.0,0.4,321.0,0.0,2026-05-04T03:05:03Z
cremini-mushroom,https://caloriedata.org/calories-in/cremini-mushroom,Cremini Mushroom,Vegetables,vegetables,22.0,3.1,0.3,3.3,1.0,0.1,5.0,0.0,2026-05-04T03:05:03Z
cucumber,https://caloriedata.org/calories-in/cucumber,Cucumber,Vegetables,vegetables,16.0,0.7,0.1,4.0,0.5,1.7,2.0,0.0,2026-05-04T03:05:03Z
cupcake,https://caloriedata.org/calories-in/cupcake,Cupcake,Desserts,desserts,305.0,3.0,12.0,48.0,0.5,32.0,280.0,0.0,2026-05-04T03:05:04Z
dal,https://caloriedata.org/calories-in/dal,Dal,Grains & Cereals,grains,84.0,8.9,0.8,15.0,5.8,0.7,2.0,0.0,2026-05-04T03:05:04Z
dann-oikos-pro-mixberry-4x53oz,https://caloriedata.org/calories-in/dann-oikos-pro-mixberry-4x53oz,DANN OIKOS PRO MIXBERRY 4X5.3OZ,Dairy,dairy,93.0,13.3,2.0,5.33,0.0,2.0,33.0,13.0,2026-05-04T03:05:04Z
dann-oikos-pro-strawberry-4x53oz,https://caloriedata.org/calories-in/dann-oikos-pro-strawberry-4x53oz,DANN OIKOS PRO STRAWBERRY 4X5.3OZ,Dairy,dairy,93.0,13.3,2.0,5.33,0.0,2.0,30.0,13.0,2026-05-04T03:05:04Z
dann-oikos-pro-vanilla-4x53oz,https://caloriedata.org/calories-in/dann-oikos-pro-vanilla-4x53oz,DANN OIKOS PRO VANILLA 4X5.3OZ,Dairy,dairy,93.0,13.3,2.0,5.33,0.0,2.0,30.0,13.0,2026-05-04T03:05:04Z
dark-chocolate,https://caloriedata.org/calories-in/dark-chocolate,Dark Chocolate,Snacks,snacks,598.0,4.2,31.0,61.0,3.3,24.0,12.0,0.0,2026-05-04T03:05:05Z
diet-snapple-peach-tea-peach-peach,https://caloriedata.org/calories-in/diet-snapple-peach-tea-peach-peach,"DIET SNAPPLE, PEACH TEA, PEACH, PEACH",Beverages,beverages,2.0,0.0,0.0,0.21,0.0,0.0,3.0,,2026-05-04T03:05:05Z
diet-snapple-raspberry-tea,https://caloriedata.org/calories-in/diet-snapple-raspberry-tea,"DIET SNAPPLE, RASPBERRY TEA",Beverages,beverages,1.0,0.0,0.0,0.21,0.0,0.0,3.0,,2026-05-04T03:05:05Z
donut,https://caloriedata.org/calories-in/donut,Donut,Desserts,desserts,452.0,3.0,25.0,51.0,1.4,21.0,386.0,0.0,2026-05-04T03:05:05Z
doritos,https://caloriedata.org/calories-in/doritos,Doritos,Snacks,snacks,490.0,6.5,25.0,59.0,3.5,3.0,530.0,0.0,2026-05-04T03:05:08Z
doritos-cool-ranch-flavored-popcorn,https://caloriedata.org/calories-in/doritos-cool-ranch-flavored-popcorn,DORITOS COOL RANCH FLAVORED POPCORN,Snacks,snacks,571.0,7.14,39.3,50.0,7.1,7.14,714.0,0.0,2026-05-04T03:05:06Z
doritos-flamas-tortilla-chips,https://caloriedata.org/calories-in/doritos-flamas-tortilla-chips,"DORITOS, FLAMAS, TORTILLA CHIPS",Snacks,snacks,500.0,7.14,28.6,57.1,3.6,0.0,714.0,0.0,2026-05-04T03:05:06Z
doritos-nacho-cheese-flavored-popcorn,https://caloriedata.org/calories-in/doritos-nacho-cheese-flavored-popcorn,DORITOS NACHO CHEESE FLAVORED POPCORN,Snacks,snacks,571.0,7.14,39.3,46.4,7.1,3.57,714.0,18.0,2026-05-04T03:05:06Z
doritos-roulette-flavored-tortilla-chips,https://caloriedata.org/calories-in/doritos-roulette-flavored-tortilla-chips,"DORITOS, ROULETTE, FLAVORED TORTILLA CHIPS",Snacks,snacks,536.0,7.14,28.6,64.3,3.6,3.57,714.0,0.0,2026-05-04T03:05:06Z
doritos-toasted-corn-tortilla-chips,https://caloriedata.org/calories-in/doritos-toasted-corn-tortilla-chips,"DORITOS, TOASTED CORN TORTILLA CHIPS",Snacks,snacks,500.0,7.14,25.0,64.3,3.6,0.0,429.0,0.0,2026-05-04T03:05:06Z
doritos-tortilla-chips-cool-ranch-cool-ranch,https://caloriedata.org/calories-in/doritos-tortilla-chips-cool-ranch-cool-ranch,"DORITOS, TORTILLA CHIPS, COOL RANCH, COOL RANCH",Snacks,snacks,536.0,7.14,28.6,64.3,7.1,3.57,643.0,0.0,2026-05-04T03:05:07Z
doritos-tortilla-chips-nacho-cheese-nacho-cheese,https://caloriedata.org/calories-in/doritos-tortilla-chips-nacho-cheese-nacho-cheese,"DORITOS, TORTILLA CHIPS, NACHO CHEESE, NACHO CHEESE",Snacks,snacks,500.0,7.14,28.6,57.1,3.6,0.0,750.0,0.0,2026-05-04T03:05:07Z
