slug,url,name,category,category_slug,calories,protein_g,total_fat_g,total_carb_g,dietary_fiber_g,sugars_g,sodium_mg,cholesterol_mg,scraped_at
honeydew,https://caloriedata.org/calories-in/honeydew,Honeydew,Fruits,fruits,36.0,0.8,0.3,9.0,0.8,8.0,33.0,0.0,2026-05-04T03:04:59Z
hot-dog,https://caloriedata.org/calories-in/hot-dog,Hot Dog,Fast Food,fast-food,290.0,13.0,17.0,22.0,0.0,3.0,1100.0,,2026-05-04T03:05:00Z
hummus,https://caloriedata.org/calories-in/hummus,Hummus,Snacks,snacks,166.0,8.0,9.6,14.0,6.0,0.4,379.0,0.0,2026-05-04T03:05:00Z
ice-cream,https://caloriedata.org/calories-in/ice-cream,Ice Cream,Desserts,desserts,207.0,3.5,11.0,24.0,0.0,21.0,52.0,,2026-05-04T03:05:00Z
iced-coffee,https://caloriedata.org/calories-in/iced-coffee,ICED COFFEE,Fast Food,fast-food,33.0,0.3,0.15,6.97,0.0,6.36,6.0,2.0,2026-05-04T03:05:00Z
iced-espresso-classics-chilled-espresso-beverage-variety-bottle,https://caloriedata.org/calories-in/iced-espresso-classics-chilled-espresso-beverage-variety-bottle,ICED ESPRESSO CLASSICS CHILLED ESPRESSO BEVERAGE VARIETY BOTTLE,Fast Food,fast-food,62.0,2.29,1.31,10.5,0.0,9.48,33.0,5.0,2026-05-04T03:05:00Z
jabuticaba,https://caloriedata.org/calories-in/jabuticaba,Jabuticaba,Fruits,fruits,44.0,0.7,0.2,11.0,1.9,6.0,2.0,0.0,2026-05-04T03:05:01Z
java-monster-coffee-energy-drink,https://caloriedata.org/calories-in/java-monster-coffee-energy-drink,JAVA MONSTER COFFEE + ENERGY DRINK,Beverages,beverages,49.0,1.85,1.08,8.0,0.0,8.0,102.0,3.0,2026-05-04T03:05:01Z
java-monster-coffee-energy-drink-coffee,https://caloriedata.org/calories-in/java-monster-coffee-energy-drink-coffee,"JAVA MONSTER COFFEE + ENERGY DRINK, COFFEE",Beverages,beverages,49.0,1.85,1.08,8.31,0.0,8.0,102.0,3.0,2026-05-04T03:05:01Z
java-monster-energy-drink-salted-caramel-salted-caramel,https://caloriedata.org/calories-in/java-monster-energy-drink-salted-caramel-salted-caramel,"JAVA MONSTER, ENERGY DRINK, SALTED CARAMEL, SALTED CARAMEL",Beverages,beverages,42.0,1.67,1.04,6.25,0.0,5.42,121.0,4.0,2026-05-04T03:05:01Z
jicama,https://caloriedata.org/calories-in/jicama,Jicama,Vegetables,vegetables,38.0,0.5,0.1,9.0,1.5,4.5,17.0,0.0,2026-05-04T03:05:01Z
kale,https://caloriedata.org/calories-in/kale,Kale,Vegetables,vegetables,49.0,2.2,0.9,9.0,1.3,0.0,28.0,,2026-05-04T03:05:02Z
kamut,https://caloriedata.org/calories-in/kamut,Kamut,Grains & Cereals,grains,395.0,17.0,2.5,68.0,10.0,1.6,11.0,0.0,2026-05-04T03:05:02Z
kefir,https://caloriedata.org/calories-in/kefir,Kefir,Dairy,dairy,59.0,3.3,3.3,3.3,0.0,2.6,19.0,0.0,2026-05-04T03:05:02Z
kidney-beans,https://caloriedata.org/calories-in/kidney-beans,Kidney Beans,Grains & Cereals,grains,127.0,9.5,0.5,23.0,6.4,0.3,2.0,0.0,2026-05-04T03:05:02Z
kimchi,https://caloriedata.org/calories-in/kimchi,Kimchi,Vegetables,vegetables,23.0,1.5,0.4,4.2,1.1,2.0,747.0,0.0,2026-05-04T03:05:03Z
kind-almond-protein-bar-hickory-smoked-hickory-smoked,https://caloriedata.org/calories-in/kind-almond-protein-bar-hickory-smoked-hickory-smoked,"KIND, ALMOND PROTEIN BAR, HICKORY SMOKED, HICKORY SMOKED",Snacks,snacks,511.0,22.2,35.6,33.3,6.7,13.3,278.0,0.0,2026-05-04T03:05:03Z
kind-bar-peanut-butter-dark-chocolate-peanut-butter-dark-chocolate,https://caloriedata.org/calories-in/kind-bar-peanut-butter-dark-chocolate-peanut-butter-dark-chocolate,"KIND, BAR, PEANUT BUTTER DARK CHOCOLATE, PEANUT BUTTER DARK CHOCOLATE",Snacks,snacks,500.0,20.0,32.5,42.5,6.2,22.5,62.0,0.0,2026-05-04T03:05:03Z
kind-bars-dark-chocolate-chili-almond-dark-chocolate-chili-almond,https://caloriedata.org/calories-in/kind-bars-dark-chocolate-chili-almond-dark-chocolate-chili-almond,"KIND, BARS, DARK CHOCOLATE CHILI ALMOND, DARK CHOCOLATE CHILI ALMOND",Snacks,snacks,500.0,15.0,37.5,40.0,17.5,12.5,288.0,0.0,2026-05-04T03:05:03Z
kind-breakfast-bars-dark-chocolate-cocoa-dark-chocolate-cocoa,https://caloriedata.org/calories-in/kind-breakfast-bars-dark-chocolate-cocoa-dark-chocolate-cocoa,"KIND, BREAKFAST BARS, DARK CHOCOLATE COCOA, DARK CHOCOLATE COCOA",Snacks,snacks,440.0,8.0,16.0,66.0,10.0,22.0,50.0,0.0,2026-05-04T03:05:04Z
kind-dark-chocolate-cinnamon-pecan-bar-nuts-spices-nuts-spices,https://caloriedata.org/calories-in/kind-dark-chocolate-cinnamon-pecan-bar-nuts-spices-nuts-spices,"KIND, DARK CHOCOLATE CINNAMON PECAN BAR, NUTS & SPICES, NUTS & SPICES",Snacks,snacks,500.0,12.5,40.0,40.0,17.5,12.5,50.0,0.0,2026-05-04T03:05:04Z
kind-fiber-plus-bar-blueberry-pecan-blueberry-pecan,https://caloriedata.org/calories-in/kind-fiber-plus-bar-blueberry-pecan-blueberry-pecan,"KIND, FIBER PLUS BAR, BLUEBERRY PECAN, BLUEBERRY PECAN",Snacks,snacks,475.0,10.0,30.0,50.0,12.5,22.5,50.0,0.0,2026-05-04T03:05:04Z
kind-fruit-nut-bar,https://caloriedata.org/calories-in/kind-fruit-nut-bar,"KIND, FRUIT & NUT BAR",Snacks,snacks,525.0,15.0,40.0,35.0,7.5,12.5,25.0,0.0,2026-05-04T03:05:05Z
kind-fruit-nut-bar-almonds-apricots-in-yogurt,https://caloriedata.org/calories-in/kind-fruit-nut-bar-almonds-apricots-in-yogurt,"KIND, FRUIT & NUT BAR, ALMONDS & APRICOTS IN YOGURT",Snacks,snacks,475.0,7.5,27.5,57.5,6.2,40.0,62.0,0.0,2026-05-04T03:05:04Z
kind-fruit-nut-bar-apple-cinnamon-pecan-apple-cinnamon-pecan,https://caloriedata.org/calories-in/kind-fruit-nut-bar-apple-cinnamon-pecan-apple-cinnamon-pecan,"KIND, FRUIT & NUT BAR, APPLE CINNAMON & PECAN, APPLE CINNAMON & PECAN",Snacks,snacks,475.0,10.0,30.0,50.0,6.2,25.0,50.0,0.0,2026-05-04T03:05:04Z
kind-fruit-nut-bar-in-yogurt,https://caloriedata.org/calories-in/kind-fruit-nut-bar-in-yogurt,"KIND, FRUIT & NUT BAR IN YOGURT",Snacks,snacks,500.0,12.5,32.5,47.5,6.2,30.0,38.0,0.0,2026-05-04T03:05:04Z
kind-fruit-nut-bar-peanut-butter-strawberry-peanut-butter-strawberry,https://caloriedata.org/calories-in/kind-fruit-nut-bar-peanut-butter-strawberry-peanut-butter-strawberry,"KIND, FRUIT & NUT BAR, PEANUT BUTTER & STRAWBERRY, PEANUT BUTTER & STRAWBERRY",Snacks,snacks,475.0,17.5,27.5,47.5,7.5,27.5,62.0,0.0,2026-05-04T03:05:05Z
kind-fruit-nut-delight-bar,https://caloriedata.org/calories-in/kind-fruit-nut-delight-bar,"KIND, FRUIT & NUT DELIGHT BAR",Snacks,snacks,500.0,15.0,32.5,42.5,7.5,22.5,25.0,0.0,2026-05-04T03:05:05Z
kind-hickory-smoked-bold-savory-snack-bar,https://caloriedata.org/calories-in/kind-hickory-smoked-bold-savory-snack-bar,"KIND, HICKORY SMOKED BOLD SAVORY SNACK BAR",Snacks,snacks,511.0,22.2,35.6,33.3,6.7,13.3,278.0,0.0,2026-05-04T03:05:05Z
kind-nuts-spices-bar-cashew-ginger-spice-cashew-ginger-spice,https://caloriedata.org/calories-in/kind-nuts-spices-bar-cashew-ginger-spice-cashew-ginger-spice,"KIND, NUTS & SPICES BAR, CASHEW & GINGER SPICE, CASHEW & GINGER SPICE",Snacks,snacks,500.0,15.0,35.0,40.0,12.5,10.0,38.0,0.0,2026-05-04T03:05:06Z
kiwi,https://caloriedata.org/calories-in/kiwi,Kiwi,Fruits,fruits,61.0,1.1,0.5,15.0,3.0,6.0,3.0,0.0,2026-05-04T03:05:06Z
kiwifruit,https://caloriedata.org/calories-in/kiwifruit,Kiwifruit,Fruits,fruits,61.0,1.1,0.5,15.0,3.0,6.0,3.0,0.0,2026-05-04T03:05:06Z
kohlrabi,https://caloriedata.org/calories-in/kohlrabi,Kohlrabi,Vegetables,vegetables,27.0,1.7,0.1,6.0,1.4,2.8,27.0,0.0,2026-05-04T03:05:06Z
kombucha,https://caloriedata.org/calories-in/kombucha,Kombucha,Beverages,beverages,17.0,0.0,0.0,4.5,0.0,3.0,5.0,0.0,2026-05-04T03:05:06Z
lamb,https://caloriedata.org/calories-in/lamb,Lamb,Proteins & Meats,proteins,294.0,25.0,21.0,0.0,0.0,0.0,65.0,0.0,2026-05-04T03:05:07Z
lamb-chop,https://caloriedata.org/calories-in/lamb-chop,Lamb Chop,Proteins & Meats,proteins,294.0,25.0,21.0,0.0,0.0,0.0,65.0,0.0,2026-05-04T03:05:07Z
lasagna,https://caloriedata.org/calories-in/lasagna,Lasagna,Fast Food,fast-food,135.0,8.2,5.6,13.0,1.0,3.0,380.0,0.0,2026-05-04T03:05:07Z
latte,https://caloriedata.org/calories-in/latte,Latte,Beverages,beverages,66.0,3.6,3.4,5.5,0.0,5.3,56.0,12.0,2026-05-04T03:05:07Z
lays-classic-potato-chips,https://caloriedata.org/calories-in/lays-classic-potato-chips,"LAY'S, CLASSIC POTATO CHIPS",Snacks,snacks,571.0,7.14,35.7,53.6,3.6,3.57,607.0,0.0,2026-05-04T03:05:08Z
lays-lightly-salted-potato-chip,https://caloriedata.org/calories-in/lays-lightly-salted-potato-chip,"LAY'S, LIGHTLY SALTED POTATO CHIP",Snacks,snacks,571.0,7.14,35.7,57.1,3.6,3.57,304.0,0.0,2026-05-04T03:05:08Z
lays-potato-chips,https://caloriedata.org/calories-in/lays-potato-chips,"LAY'S, POTATO CHIPS",Snacks,snacks,571.0,7.14,35.7,53.6,3.6,3.57,500.0,0.0,2026-05-04T03:04:49Z
lays-potato-chips-barbecue-barbecue,https://caloriedata.org/calories-in/lays-potato-chips-barbecue-barbecue,"LAY'S, POTATO CHIPS, BARBECUE, BARBECUE",Snacks,snacks,536.0,7.14,32.1,57.1,3.6,7.14,536.0,0.0,2026-05-04T03:04:48Z
lays-potato-chips-chipotle-ranch,https://caloriedata.org/calories-in/lays-potato-chips-chipotle-ranch,"LAY'S, POTATO CHIPS, CHIPOTLE RANCH",Snacks,snacks,536.0,7.14,35.7,53.6,3.6,3.57,571.0,0.0,2026-05-04T03:04:48Z
leek,https://caloriedata.org/calories-in/leek,Leek,Vegetables,vegetables,31.0,1.5,0.3,7.7,1.1,2.4,20.0,0.0,2026-05-04T03:04:49Z
lentils,https://caloriedata.org/calories-in/lentils,Lentils,Vegetables,vegetables,116.0,9.0,0.4,20.0,7.9,1.8,2.0,0.0,2026-05-04T03:04:49Z
lettuce,https://caloriedata.org/calories-in/lettuce,Lettuce,Vegetables,vegetables,15.0,1.2,0.2,3.0,1.3,0.6,5.0,0.0,2026-05-04T03:04:49Z
light-fit-dannon,https://caloriedata.org/calories-in/light-fit-dannon,Light + Fit Dannon,Dairy,dairy,47.0,2.94,0.0,8.82,0.0,5.88,50.0,3.0,2026-05-04T03:04:49Z
lobster,https://caloriedata.org/calories-in/lobster,Lobster,Proteins & Meats,proteins,90.0,17.0,1.9,1.3,0.0,0.0,305.0,0.0,2026-05-04T03:04:50Z
longan,https://caloriedata.org/calories-in/longan,Longan,Fruits,fruits,60.0,1.3,0.1,15.0,1.3,14.0,0.0,0.0,2026-05-04T03:04:50Z
lucky-charms-cereal,https://caloriedata.org/calories-in/lucky-charms-cereal,Lucky Charms Cereal,Grains & Cereals,grains,380.0,7.6,3.97,83.4,6.37,33.5,624.0,0.0,2026-05-04T03:04:50Z
lupini-beans,https://caloriedata.org/calories-in/lupini-beans,Lupini Beans,Grains & Cereals,grains,119.0,13.2,6.0,4.6,5.6,0.3,240.0,0.0,2026-05-04T03:04:50Z
lychee,https://caloriedata.org/calories-in/lychee,Lychee,Fruits,fruits,66.0,0.8,0.3,17.0,1.3,15.0,1.0,0.0,2026-05-04T03:04:50Z
mac-and-cheese,https://caloriedata.org/calories-in/mac-and-cheese,Mac and Cheese,Fast Food,fast-food,164.0,6.5,7.2,18.0,0.7,2.8,470.0,0.0,2026-05-04T03:04:50Z
mackerel,https://caloriedata.org/calories-in/mackerel,Mackerel,Proteins & Meats,proteins,205.0,19.0,13.6,0.0,0.0,0.0,71.0,0.0,2026-05-04T03:04:51Z
mango,https://caloriedata.org/calories-in/mango,Mango,Fruits,fruits,60.0,0.8,0.4,15.0,1.6,13.0,11.0,0.0,2026-05-04T03:04:51Z
mango-low-fat-greek-yogurt-mango,https://caloriedata.org/calories-in/mango-low-fat-greek-yogurt-mango,"MANGO LOW-FAT GREEK YOGURT, MANGO",Dairy,dairy,87.0,7.33,1.67,0.0,0.7,9.33,43.0,10.0,2026-05-04T03:04:51Z
marie-callenders-mac-cheese,https://caloriedata.org/calories-in/marie-callenders-mac-cheese,"MARIE CALLENDER'S, MAC & CHEESE",Fast Food,fast-food,172.0,5.74,9.09,16.8,1.4,0.96,321.0,22.0,2026-05-04T03:04:51Z
marie-callenders-meatballs-sausage-marinara,https://caloriedata.org/calories-in/marie-callenders-meatballs-sausage-marinara,"MARIE CALLENDER'S, MEATBALLS & SAUSAGE MARINARA",Fast Food,fast-food,154.0,6.78,7.05,16.3,2.2,2.44,358.0,14.0,2026-05-04T03:04:51Z
marie-callenders-orange-chicken,https://caloriedata.org/calories-in/marie-callenders-orange-chicken,"MARIE CALLENDER'S, ORANGE CHICKEN",Fast Food,fast-food,133.0,4.61,3.25,21.4,1.9,6.5,154.0,5.0,2026-05-04T03:04:52Z
mascarpone,https://caloriedata.org/calories-in/mascarpone,Mascarpone,Dairy,dairy,452.0,5.9,47.0,4.6,0.0,0.4,27.0,0.0,2026-05-04T03:04:52Z
medlar,https://caloriedata.org/calories-in/medlar,Medlar,Fruits,fruits,47.0,0.4,0.4,12.0,1.6,6.0,1.0,0.0,2026-05-04T03:04:52Z
milk,https://caloriedata.org/calories-in/milk,Milk,Dairy,dairy,61.0,3.2,3.3,4.8,0.0,4.8,44.0,0.0,2026-05-04T03:04:52Z
millet,https://caloriedata.org/calories-in/millet,Millet,Grains & Cereals,grains,378.0,6.3,4.2,72.0,8.5,1.3,7.0,0.0,2026-05-04T03:04:53Z
mini-caramel-chilled-coffee-drink,https://caloriedata.org/calories-in/mini-caramel-chilled-coffee-drink,MINI CARAMEL CHILLED COFFEE DRINK,Fast Food,fast-food,73.0,2.6,1.04,13.5,0.0,11.5,36.0,5.0,2026-05-04T03:04:53Z
miso,https://caloriedata.org/calories-in/miso,Miso,Proteins & Meats,proteins,161.0,12.0,5.0,14.0,3.4,3.0,5005.0,0.0,2026-05-04T03:04:53Z
mocha-chilled-coffee-drink,https://caloriedata.org/calories-in/mocha-chilled-coffee-drink,MOCHA CHILLED COFFEE DRINK,Fast Food,fast-food,63.0,2.46,1.05,11.6,0.0,10.9,33.0,5.0,2026-05-04T03:04:53Z
monster-cookie-monster,https://caloriedata.org/calories-in/monster-cookie-monster,"MONSTER COOKIE, MONSTER",Beverages,beverages,464.0,7.14,21.4,57.1,3.6,35.7,304.0,18.0,2026-05-04T03:04:54Z
monster-energy-drink,https://caloriedata.org/calories-in/monster-energy-drink,MONSTER ENERGY DRINK,Beverages,beverages,42.0,0.0,0.0,10.0,0.0,9.58,17.0,,2026-05-04T03:04:54Z
monster-energy-shake-vanilla,https://caloriedata.org/calories-in/monster-energy-shake-vanilla,"MONSTER ENERGY SHAKE, VANILLA",Beverages,beverages,46.0,5.42,0.83,4.17,0.0,3.75,88.0,4.0,2026-05-04T03:04:54Z
monster-rehab-peach-tea-energy,https://caloriedata.org/calories-in/monster-rehab-peach-tea-energy,"MONSTER, REHAB PEACH TEA + ENERGY",Beverages,beverages,4.0,0.0,0.0,1.25,0.0,0.83,38.0,,2026-05-04T03:04:54Z
mozzarella,https://caloriedata.org/calories-in/mozzarella,Mozzarella,Dairy,dairy,280.0,28.0,17.0,3.1,0.0,0.7,505.0,0.0,2026-05-04T03:04:54Z
mozzarella-sticks,https://caloriedata.org/calories-in/mozzarella-sticks,Mozzarella Sticks,Fast Food,fast-food,312.0,13.0,18.0,25.0,0.8,1.5,640.0,0.0,2026-05-04T03:04:54Z
muenster-cheese,https://caloriedata.org/calories-in/muenster-cheese,Muenster Cheese,Dairy,dairy,368.0,25.0,30.0,0.6,0.0,0.0,711.0,0.0,2026-05-04T03:04:55Z
mung-beans,https://caloriedata.org/calories-in/mung-beans,Mung Beans,Grains & Cereals,grains,105.0,7.0,0.4,19.0,4.2,0.3,2.0,0.0,2026-05-04T03:04:55Z
mushroom,https://caloriedata.org/calories-in/mushroom,Mushroom,Vegetables,vegetables,22.0,3.1,0.3,3.3,1.0,0.1,5.0,0.0,2026-05-04T03:04:55Z
mussels,https://caloriedata.org/calories-in/mussels,Mussels,Proteins & Meats,proteins,86.0,12.0,2.2,3.7,0.0,0.0,317.0,0.0,2026-05-04T03:04:55Z
naan-bread,https://caloriedata.org/calories-in/naan-bread,Naan Bread,Grains & Cereals,grains,301.0,5.8,7.0,48.0,0.5,5.0,462.0,0.0,2026-05-04T03:04:55Z
nachos,https://caloriedata.org/calories-in/nachos,Nachos,Fast Food,fast-food,346.0,9.1,19.0,36.0,3.1,1.5,816.0,18.0,2026-05-04T03:04:55Z
natto,https://caloriedata.org/calories-in/natto,Natto,Proteins & Meats,proteins,176.0,17.0,9.0,12.0,5.0,0.0,876.0,0.0,2026-05-04T03:04:55Z
navy-beans,https://caloriedata.org/calories-in/navy-beans,Navy Beans,Grains & Cereals,grains,131.0,8.7,0.5,24.0,6.4,0.5,1.0,0.0,2026-05-04T03:04:56Z
nori,https://caloriedata.org/calories-in/nori,Nori,Vegetables,vegetables,333.0,46.0,8.0,59.0,7.0,0.0,1200.0,0.0,2026-05-04T03:04:56Z
oat-milk,https://caloriedata.org/calories-in/oat-milk,Oat Milk,Beverages,beverages,47.0,1.0,1.5,7.8,0.8,3.2,36.0,0.0,2026-05-04T03:04:56Z
oatmeal,https://caloriedata.org/calories-in/oatmeal,Oatmeal,Grains & Cereals,grains,389.0,17.0,7.0,66.0,11.0,0.0,2.0,0.0,2026-05-04T03:04:56Z
oats,https://caloriedata.org/calories-in/oats,Oats,Grains & Cereals,grains,389.0,10.0,6.9,66.0,10.6,0.0,30.0,0.0,2026-05-04T03:04:57Z
octopus,https://caloriedata.org/calories-in/octopus,Octopus,Proteins & Meats,proteins,82.0,30.0,0.9,2.2,0.0,0.0,577.0,0.0,2026-05-04T03:04:57Z
oikos-core-blueberry-53oz-0,https://caloriedata.org/calories-in/oikos-core-blueberry-53oz-0,Oikos Core Blueberry 5.3OZ 0%,Dairy,dairy,67.0,8.67,0.0,8.67,0.7,8.0,30.0,7.0,2026-05-04T03:04:57Z
oikos-core-plain-32oz-0,https://caloriedata.org/calories-in/oikos-core-plain-32oz-0,Oikos Core Plain 32OZ 0%,Dairy,dairy,59.0,10.6,0.0,4.12,0.0,4.12,35.0,6.0,2026-05-04T03:04:57Z
oikos-core-plain-53oz-0,https://caloriedata.org/calories-in/oikos-core-plain-53oz-0,Oikos Core Plain 5.3OZ 0%,Dairy,dairy,60.0,10.7,0.0,4.0,0.0,4.0,33.0,7.0,2026-05-04T03:04:57Z
oikos-core-strawberry-53oz-0,https://caloriedata.org/calories-in/oikos-core-strawberry-53oz-0,Oikos Core Strawberry 5.3OZ 0%,Dairy,dairy,67.0,8.67,0.0,8.67,0.7,8.0,37.0,7.0,2026-05-04T03:04:58Z
oikos-core-vanilla-32oz-0,https://caloriedata.org/calories-in/oikos-core-vanilla-32oz-0,Oikos Core Vanilla 32OZ 0%,Dairy,dairy,71.0,9.41,0.0,8.24,0.0,7.65,32.0,6.0,2026-05-04T03:04:58Z
oikos-core-vanilla-53oz-0,https://caloriedata.org/calories-in/oikos-core-vanilla-53oz-0,Oikos Core Vanilla 5.3OZ 0%,Dairy,dairy,67.0,9.33,0.0,8.0,0.0,8.0,33.0,7.0,2026-05-04T03:04:58Z
oikos-pro-plain-yogurt,https://caloriedata.org/calories-in/oikos-pro-plain-yogurt,Oikos Pro Plain Yogurt,Dairy,dairy,54.0,8.45,1.18,2.03,0.0,1.35,20.0,8.0,2026-05-04T03:04:58Z
okra,https://caloriedata.org/calories-in/okra,Okra,Vegetables,vegetables,33.0,2.0,0.1,7.0,3.3,1.5,7.0,0.0,2026-05-04T03:04:58Z
onion,https://caloriedata.org/calories-in/onion,Onion,Vegetables,vegetables,40.0,1.1,0.1,9.0,1.7,4.2,4.0,,2026-05-04T03:04:59Z
onion-rings,https://caloriedata.org/calories-in/onion-rings,Onion Rings,Fast Food,fast-food,332.0,4.4,18.0,38.0,1.8,4.2,480.0,0.0,2026-05-04T03:04:58Z
orange,https://caloriedata.org/calories-in/orange,Orange,Fruits,fruits,47.0,0.7,0.3,12.0,2.4,9.0,0.0,,2026-05-04T03:05:00Z
orange-juice,https://caloriedata.org/calories-in/orange-juice,Orange Juice,Beverages,beverages,47.0,0.7,0.3,11.0,0.2,9.0,1.0,0.0,2026-05-04T03:04:59Z
orange-protein-bar-orange,https://caloriedata.org/calories-in/orange-protein-bar-orange,"ORANGE PROTEIN BAR, ORANGE",Snacks,snacks,404.0,23.1,15.4,46.2,5.8,34.6,346.0,0.0,2026-05-04T03:04:59Z
oreo-cones-oreo,https://caloriedata.org/calories-in/oreo-cones-oreo,"OREO CONES, OREO",Desserts,desserts,385.0,7.69,3.85,84.6,0.0,38.5,577.0,0.0,2026-05-04T03:05:00Z
oreo-frosted-cookies-oreo,https://caloriedata.org/calories-in/oreo-frosted-cookies-oreo,"OREO FROSTED COOKIES, OREO",Desserts,desserts,421.0,2.63,15.8,63.2,2.6,42.1,368.0,13.0,2026-05-04T03:05:00Z
oreo-muffins-oreo,https://caloriedata.org/calories-in/oreo-muffins-oreo,"OREO MUFFINS, OREO",Desserts,desserts,404.0,3.51,22.8,49.1,1.8,28.1,368.0,35.0,2026-05-04T03:05:00Z
oreos,https://caloriedata.org/calories-in/oreos,Oreo Cookies,Snacks,snacks,437.0,4.5,17.0,67.0,2.3,36.0,380.0,0.0,2026-05-04T03:05:00Z
ostrich-meat,https://caloriedata.org/calories-in/ostrich-meat,Ostrich Meat,Proteins & Meats,proteins,113.0,26.0,2.4,0.0,0.0,0.0,124.0,0.0,2026-05-04T03:05:01Z
oyster-mushroom,https://caloriedata.org/calories-in/oyster-mushroom,Oyster Mushroom,Vegetables,vegetables,33.0,3.3,0.4,6.0,1.1,0.4,108.0,0.0,2026-05-04T03:05:01Z
oysters,https://caloriedata.org/calories-in/oysters,Oysters,Proteins & Meats,proteins,68.0,9.0,2.5,3.9,0.0,0.0,120.0,0.0,2026-05-04T03:05:01Z
pancake,https://caloriedata.org/calories-in/pancake,Pancake,Grains & Cereals,grains,227.0,6.4,10.0,28.0,0.9,6.5,440.0,0.0,2026-05-04T03:05:01Z
papaya,https://caloriedata.org/calories-in/papaya,Papaya,Fruits,fruits,43.0,0.6,0.3,11.0,1.8,7.0,3.0,0.0,2026-05-04T03:05:01Z
parmesan,https://caloriedata.org/calories-in/parmesan,Parmesan,Dairy,dairy,431.0,38.0,29.0,4.1,0.0,0.7,1529.0,0.0,2026-05-04T03:05:02Z
parsnip,https://caloriedata.org/calories-in/parsnip,Parsnip,Vegetables,vegetables,75.0,1.2,0.3,18.0,4.9,3.9,10.0,0.0,2026-05-04T03:05:02Z
passion-fruit,https://caloriedata.org/calories-in/passion-fruit,Passion Fruit,Fruits,fruits,97.0,2.2,0.7,23.0,10.0,11.0,28.0,0.0,2026-05-04T03:05:02Z
pasta,https://caloriedata.org/calories-in/pasta,Pasta,Grains & Cereals,grains,131.0,5.3,1.1,25.0,1.8,0.6,3.0,0.0,2026-05-04T03:05:02Z
peach,https://caloriedata.org/calories-in/peach,Peach,Fruits,fruits,39.0,0.9,0.3,10.0,1.5,7.0,0.0,0.0,2026-05-04T03:05:03Z
peanut-butter,https://caloriedata.org/calories-in/peanut-butter,Peanut Butter,Nuts & Seeds,nuts-seeds,588.0,25.0,50.0,20.0,6.0,9.4,459.0,0.0,2026-05-04T03:05:03Z
peanut-flour,https://caloriedata.org/calories-in/peanut-flour,Peanut Flour,Grains & Cereals,grains,392.0,49.0,12.0,20.0,6.0,4.0,18.0,0.0,2026-05-04T03:05:03Z
peanuts,https://caloriedata.org/calories-in/peanuts,Peanuts,Nuts & Seeds,nuts-seeds,567.0,26.0,49.0,16.0,9.0,4.7,18.0,0.0,2026-05-04T03:05:03Z
pear,https://caloriedata.org/calories-in/pear,Pear,Fruits,fruits,57.0,0.4,0.1,15.0,2.8,10.0,1.0,0.0,2026-05-04T03:05:04Z
peas,https://caloriedata.org/calories-in/peas,Peas,Grains & Cereals,grains,81.0,5.7,0.4,14.0,2.7,5.7,2.0,0.0,2026-05-04T03:05:04Z
pepsi,https://caloriedata.org/calories-in/pepsi,Pepsi,Beverages,beverages,43.0,0.0,0.0,11.0,0.0,11.0,3.0,0.0,2026-05-04T03:05:04Z
perch,https://caloriedata.org/calories-in/perch,Perch,Proteins & Meats,proteins,91.0,20.0,0.9,0.0,0.0,0.0,67.0,0.0,2026-05-04T03:05:04Z
pie,https://caloriedata.org/calories-in/pie,Pie,Desserts,desserts,320.0,3.0,17.0,35.0,0.9,15.0,290.0,0.0,2026-05-04T03:05:04Z
pike,https://caloriedata.org/calories-in/pike,Pike,Proteins & Meats,proteins,96.0,19.0,0.7,0.0,0.0,0.0,42.0,0.0,2026-05-04T03:05:04Z
pineapple,https://caloriedata.org/calories-in/pineapple,Pineapple,Fruits,fruits,50.0,0.5,0.1,13.0,1.4,10.0,1.0,,2026-05-04T03:05:05Z
pinto-beans,https://caloriedata.org/calories-in/pinto-beans,Pinto Beans,Grains & Cereals,grains,143.0,9.0,0.6,27.0,6.4,0.7,1.0,0.0,2026-05-04T03:05:05Z
pistachio,https://caloriedata.org/calories-in/pistachio,Pistachio,Nuts & Seeds,nuts-seeds,560.0,20.0,45.0,28.0,10.6,7.7,1.0,0.0,2026-05-04T03:05:05Z
pistachios,https://caloriedata.org/calories-in/pistachios,Pistachios,Nuts & Seeds,nuts-seeds,560.0,20.0,45.0,28.0,10.0,7.7,1.0,0.0,2026-05-04T03:05:05Z
pita-bread,https://caloriedata.org/calories-in/pita-bread,Pita Bread,Grains & Cereals,grains,275.0,5.5,1.1,55.0,1.7,3.4,521.0,0.0,2026-05-04T03:05:06Z
pizza,https://caloriedata.org/calories-in/pizza,Pizza,Fast Food,fast-food,285.0,10.0,11.0,36.0,2.5,3.8,550.0,0.0,2026-05-04T03:05:06Z
pizza-flatbread-dipper-pizza,https://caloriedata.org/calories-in/pizza-flatbread-dipper-pizza,"PIZZA FLATBREAD DIPPER, PIZZA",Fast Food,fast-food,260.0,8.33,14.6,27.1,2.1,4.17,510.0,21.0,2026-05-04T03:05:06Z
pizza-sauce-pizza,https://caloriedata.org/calories-in/pizza-sauce-pizza,"PIZZA SAUCE, PIZZA",Fast Food,fast-food,50.0,1.67,0.83,10.0,1.7,5.0,567.0,0.0,2026-05-04T03:05:06Z
